"TotalBath","TotalRoom","TotalSF","Quality","Condition","Location","YearBuilt","Price"
3,3,2566,7,5,"Norm",2003,208500
2,3,2524,6,8,"Feedr",1976,181500
3,3,2706,7,5,"Norm",2001,223500
3,4,3343,8,5,"Norm",2000,250000
2,1,2158,5,5,"Norm",1993,143000
2,3,3380,8,5,"Norm",2004,307000
3,3,3197,7,6,"PosN",1973,200000
1,2,2068,5,6,"Artery",1939,118000
1,3,2080,5,5,"Norm",1965,129500
1,2,1824,5,6,"Norm",1962,144000
2,2,2506,6,5,"Norm",1960,157000
1,2,1686,7,8,"Norm",1929,132000
1,2,2008,6,7,"Norm",1970,149000
2,2,1296,4,5,"Norm",1967,90000
2,3,2228,5,5,"RRAe",2004,159000
1,3,1745,7,7,"Norm",1930,139400
2,3,3572,8,5,"Norm",2002,230000
1,3,2100,5,7,"Norm",1976,129900
1,3,2120,5,8,"Norm",1968,154000
2,3,3166,8,5,"Norm",2007,256300
1,3,1800,5,7,"Norm",1951,134800
2,3,3408,8,5,"Norm",2007,306000
1,2,3084,5,6,"Norm",1957,207500
1,1,1040,4,6,"Feedr",1927,68500
1,3,1966,4,4,"Feedr",1920,40000
2,3,2456,5,6,"Norm",1966,149350
2,3,2468,8,5,"Norm",2007,179900
2,4,3098,5,5,"Norm",1959,165500
2,2,3122,9,5,"Norm",2005,277500
4,4,3569,8,5,"Norm",2004,309000
2,3,2194,5,5,"Norm",1994,145000
1,3,2594,5,6,"Norm",1954,153000
2,2,2678,5,6,"Norm",1959,170000
1,2,1724,5,7,"Norm",1983,144000
1,3,1876,5,6,"Norm",1975,130250
1,3,2300,5,6,"Norm",1959,141000
2,2,3504,9,5,"Norm",2005,319900
2,3,3312,8,5,"Norm",2006,249700
1,3,1910,5,7,"Norm",1966,127000
2,3,2264,6,6,"Norm",1997,177000
1,3,1992,6,6,"Norm",1934,114500
1,2,1632,5,5,"RRNn",1963,110000
1,0,3684,9,5,"Norm",1981,385000
1,3,1744,5,5,"Norm",1955,130000
2,3,2850,6,5,"Norm",1964,180500
3,3,2580,7,5,"Norm",2004,196500
1,2,1560,5,7,"Norm",1972,124900
1,3,1641,5,7,"Norm",1920,101000
2,2,2740,8,5,"Norm",2006,202500
2,3,2286,7,6,"RRAn",1921,140000
3,3,3091,7,5,"Norm",1997,219500
3,4,3616,8,5,"Norm",2004,317000
2,3,4154,7,5,"PosA",1970,180000
