"Date","Weekly_Sales","Temperature","Fuel_Price","CPI","PrevWeekly_Sales","IsHoliday"
"2010-02-05",22516.3136986301,42.31,2.572,211.0963582,21562.8205843739,0
"2010-02-12",22804.9644444444,38.51,2.548,211.2421698,22516.3136986301,1
"2010-02-19",22081.7557534247,39.93,2.514,211.2891429,22804.9644444444,0
"2010-02-26",19579.5498611111,46.63,2.561,211.3196429,22081.7557534247,0
"2010-03-05",21298.7216438356,46.5,2.625,211.3501429,19579.5498611111,0
"2010-03-12",19719.7478082192,57.79,2.667,211.3806429,21298.7216438356,0
"2010-03-19",20451.6081944444,54.58,2.72,211.215635,19719.7478082192,0
"2010-03-26",19505.9711111111,51.45,2.732,211.0180424,20451.6081944444,0
"2010-04-02",22152.3372222222,62.27,2.719,210.8204499,19505.9711111111,0
"2010-04-09",21170.1168493151,65.86,2.77,210.6228574,22152.3372222222,0
"2010-04-16",20082.9901369863,66.32,2.808,210.4887,21170.1168493151,0
"2010-04-23",19323.0016666667,64.84,2.795,210.4391228,20082.9901369863,0
"2010-04-30",20071.8409859155,67.41,2.78,210.3895456,19323.0016666667,0
"2010-05-07",22277.1544444444,72.55,2.835,210.3399684,20071.8409859155,0
"2010-05-14",20753.4930555556,74.78,2.854,210.3374261,22277.1544444444,0
"2010-05-21",19995.1724285714,76.44,2.826,210.6170934,20753.4930555556,0
"2010-05-28",20458.1421428571,80.44,2.759,210.8967606,19995.1724285714,0
"2010-06-04",22753.8691549296,80.69,2.705,211.1764278,20458.1421428571,0
"2010-06-11",21726.2125352113,80.43,2.668,211.4560951,22753.8691549296,0
"2010-06-18",21786.7255072464,84.11,2.637,211.4537719,21726.2125352113,0
"2010-06-25",20619.0086956522,84.34,2.653,211.3386526,21786.7255072464,0
"2010-07-02",20444.084109589,80.91,2.669,211.2235333,20619.0086956522,0
"2010-07-09",21775.6926760563,80.48,2.642,211.108414,20444.084109589,0
"2010-07-16",20699.1274285714,83.15,2.623,211.1003854,21775.6926760563,0
"2010-07-23",19237.0166666667,83.36,2.608,211.2351443,20699.1274285714,0
"2010-07-30",19055.3694444444,81.84,2.64,211.3699032,19237.0166666667,0
"2010-08-06",22935.5968571429,87.16,2.627,211.5046621,19055.3694444444,0
"2010-08-13",21242.7853521127,87,2.692,211.6394211,22935.5968571429,0
"2010-08-20",21015.0068055556,86.65,2.664,211.6033633,21242.7853521127,0
"2010-08-27",20702.0417142857,85.22,2.619,211.5673056,21015.0068055556,0
"2010-09-03",21391.1601388889,81.21,2.577,211.5312479,20702.0417142857,0
"2010-09-10",20936.9540277778,78.69,2.565,211.4951902,21391.1601388889,1
"2010-09-17",19866.3704166667,82.11,2.582,211.5224596,20936.9540277778,0
"2010-09-24",19039.3102816901,80.94,2.624,211.5972246,19866.3704166667,0
"2010-10-01",19908.6232876712,71.89,2.603,211.6719895,19039.3102816901,0
"2010-10-08",20660.8209589041,63.93,2.633,211.7467544,19908.6232876712,0
"2010-10-15",19991.9054794521,67.18,2.72,211.8137436,20660.8209589041,0
"2010-10-22",18430.8767123288,69.86,2.725,211.8612937,19991.9054794521,0
"2010-10-29",19225.1280555556,69.64,2.716,211.9088438,18430.8767123288,0
"2010-11-05",21550.8233333333,58.74,2.689,211.9563939,19225.1280555556,0
"2010-11-12",20472.3217808219,59.61,2.728,212.003944,21550.8233333333,0
"2010-11-19",20608.1136111111,51.41,2.771,211.8896737,20472.3217808219,0
"2010-11-26",27161.4459722222,64.52,2.735,211.7484333,20608.1136111111,1
"2010-12-03",21803.2926760563,49.27,2.708,211.607193,27161.4459722222,0
"2010-12-10",23698.7923943662,46.33,2.843,211.4659526,21803.2926760563,0
"2010-12-17",26264.3740277778,49.84,2.869,211.4053124,23698.7923943662,0
"2010-12-24",33165.975,52.33,2.886,211.4051222,26264.3740277778,0
"2010-12-31",19258.0283098592,48.43,2.943,211.4049321,33165.975,1
"2011-01-07",20065.7261111111,48.27,2.976,211.4047419,19258.0283098592,0
"2011-01-14",19591.745915493,35.4,2.983,211.4574109,20065.7261111111,0
"2011-01-21",18436.1863888889,44.04,3.016,211.8272343,19591.745915493,0
"2011-01-28",18547.8776056338,43.83,3.01,212.1970577,18436.1863888889,0
"2011-02-04",22628.5856338028,42.27,2.989,212.5668812,18547.8776056338,0
"2011-02-11",22911.3184722222,36.39,3.022,212.9367046,22628.5856338028,1
"2011-02-18",23428.3719444444,57.36,3.045,213.2478853,22911.3184722222,0
"2011-02-25",20233.3372222222,62.9,3.065,213.535609,23428.3719444444,0
"2011-03-04",22414.567260274,59.58,3.288,213.8233327,20233.3372222222,0
"2011-03-11",20989.0760810811,53.56,3.459,214.1110564,22414.567260274,0
"2011-03-18",21900.2508333333,62.76,3.488,214.3627114,20989.0760810811,0
"2011-03-25",21705.6673239437,69.97,3.473,214.5999389,21900.2508333333,0
"2011-04-01",21057.25,59.17,3.524,214.8371664,21705.6673239437,0
"2011-04-08",22736.0471830986,67.84,3.622,215.0743939,21057.25,0
"2011-04-15",21970.2676056338,71.27,3.743,215.2918561,22736.0471830986,0
"2011-04-22",21733.6084722222,72.99,3.807,215.4599053,21970.2676056338,0
"2011-04-29",20787.0098571429,72.03,3.81,215.6279544,21733.6084722222,0
"2011-05-06",22949.1729577465,64.61,3.906,215.7960035,20787.0098571429,0
"2011-05-13",21983.2271232877,75.64,3.899,215.9640526,22949.1729577465,0
